WKT_GEOM,NEW DATASET,ID,OLD DATASET,OLD ID,VERSION,COUNTRY,ACCURACY,START DATE,END DATE,TYPE,TRIGGER,AFFIDABILITY,PSV,DCMV,FATALITIES,INJURIES,NOTES,LINK
POINT (13.342236 46.490426),UGLC,CALC,ITALICA,ITA_0907,V2 - 2023,Italy,599,2003/08/29,2003/08/29,debris flow,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.684466 46.51952),UGLC,CALC,ITALICA,ITA_0908,V2 - 2023,Italy,599,2003/08/29,2003/08/29,debris flow,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.440147 46.511583),UGLC,CALC,ITALICA,ITA_0909,V2 - 2023,Italy,599,2003/08/31,2003/08/31,debris flow,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.33645 46.499985),UGLC,CALC,ITALICA,ITA_0910,V2 - 2023,Italy,599,2003/08/31,2003/08/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.950027 46.233411),UGLC,CALC,ITALICA,ITA_0911,V2 - 2023,Italy,599,2003/10/05,2003/10/05,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pordenone, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.363567 46.504406),UGLC,CALC,ITALICA,ITA_0912,V2 - 2023,Italy,599,2003/10/05,2003/10/05,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (10.594465 44.504068),UGLC,CALC,ITALICA,ITA_0913,V2 - 2023,Italy,599,2010/11/03,2010/11/03,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (10.591823 44.380556),UGLC,CALC,ITALICA,ITA_0914,V2 - 2023,Italy,599,2010/12/09,2010/12/09,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (10.499189 44.467583),UGLC,CALC,ITALICA,ITA_0915,V2 - 2023,Italy,1799,2010/12/24,2010/12/24,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (10.482509 44.503768),UGLC,CALC,ITALICA,ITA_0916,V2 - 2023,Italy,1799,2010/12/24,2010/12/24,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (13.2308 46.203836),UGLC,CALC,ITALICA,ITA_0917,V2 - 2023,Italy,599,2004/05/06,2004/05/06,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.22642 46.218962),UGLC,CALC,ITALICA,ITA_0918,V2 - 2023,Italy,599,2004/05/07,2004/05/07,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.567368 46.12569),UGLC,CALC,ITALICA,ITA_0919,V2 - 2023,Italy,1799,2004/10/09,2004/10/09,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.550972 46.119856),UGLC,CALC,ITALICA,ITA_0920,V2 - 2023,Italy,599,2004/10/10,2004/10/10,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.513844 46.120184),UGLC,CALC,ITALICA,ITA_0921,V2 - 2023,Italy,599,2004/10/10,2004/10/10,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.553866 45.842909),UGLC,CALC,ITALICA,ITA_0922,V2 - 2023,Italy,599,2004/10/17,2004/10/17,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.768804 46.215561),UGLC,CALC,ITALICA,ITA_0923,V2 - 2023,Italy,599,2004/10/31,2004/10/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pordenone, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.121387 46.523239),UGLC,CALC,ITALICA,ITA_0924,V2 - 2023,Italy,599,2004/10/31,2004/10/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.236873 46.384519),UGLC,CALC,ITALICA,ITA_0925,V2 - 2023,Italy,1799,2004/10/31,2004/10/31,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.602044 45.963703),UGLC,CALC,ITALICA,ITA_0926,V2 - 2023,Italy,599,2004/10/31,2004/10/31,mudslide,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.638056 45.982108),UGLC,CALC,ITALICA,ITA_0927,V2 - 2023,Italy,599,2004/10/31,2004/10/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.618591 45.975275),UGLC,CALC,ITALICA,ITA_0928,V2 - 2023,Italy,599,2004/10/31,2004/10/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.58265 45.982689),UGLC,CALC,ITALICA,ITA_0929,V2 - 2023,Italy,1799,2004/10/31,2004/10/31,mudslide,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.22974 46.245829),UGLC,CALC,ITALICA,ITA_0930,V2 - 2023,Italy,1799,2004/10/31,2004/10/31,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.830869 46.261658),UGLC,CALC,ITALICA,ITA_0931,V2 - 2023,Italy,599,2004/10/31,2004/10/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pordenone, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (10.069322 44.728219),UGLC,CALC,ITALICA,ITA_0932,V2 - 2023,Italy,1799,2010/12/26,2010/12/26,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Parma, Emilia-Romagna, description: ND",Source: ND
POINT (13.290384 46.198542),UGLC,CALC,ITALICA,ITA_0933,V2 - 2023,Italy,599,2005/04/09,2005/04/09,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
