,OLD_DATA,START_DATA
199,9/1/2006,2006/01/09
200,8/25/2006,2006/08/25
201,4/20/2006,2006/04/20
202,9/20/2012,2012/09/20
203,4/9/2009,2009/09/04
204,4/23/2014,2014/04/23
205,9/2/2011,2011/02/09
206,7/20/2011,2011/07/20
207,10/20/2012,2012/10/20
208,8/7/2006,2006/07/08
209,5/2/2010,2010/02/05
210,1/18/2014,2014/01/18
211,4/7/2005,2005/07/04
212,5/13/2014,2014/05/13
213,7/21/2015,2015/07/21
214,8/23/2013,2013/08/23
215,4/29/2010,2010/04/29
216,4/5/2015,2015/05/04
217,4/19/2006,2006/04/19
218,4/10/2015,2015/10/04
219,6/17/2011,2011/06/17
220,6/2/2008,2008/02/06
221,11/13/2014,2014/11/13
222,8/13/2009,2009/08/13
223,8/10/2011,2011/10/08
224,7/11/2007,2007/11/07
225,3/7/2016,2016/07/03
226,10/11/2006,2006/11/10
227,3/31/2006,2006/03/31
228,4/6/2008,2008/06/04
229,7/30/2014,2014/07/30
230,4/2/2006,2006/02/04
231,5/29/2014,2014/05/29
232,1/5/2011,2011/05/01
233,10/15/2006,2006/10/15
234,8/30/2009,2009/08/30
235,11/29/2004,2004/11/29
236,4/12/2008,2008/12/04
237,3/17/2007,2007/03/17
238,4/6/2011,2011/06/04
239,4/15/2015,2015/04/15
240,9/2/2006,2006/02/09
241,3/23/2011,2011/03/23
242,3/6/2016,2016/06/03
243,9/2/2009,2009/02/09
244,4/2/2006,2006/02/04
245,4/17/2014,2014/04/17
246,7/18/2010,2010/07/18
247,6/17/2014,2014/06/17
248,5/28/2012,2012/05/28
249,8/24/2013,2013/08/24
250,5/8/2007,2007/08/05
251,3/15/2005,2005/03/15
252,10/10/2006,2006/10/10
253,4/21/2012,2012/04/21
254,7/4/2008,2008/04/07
255,5/26/2012,2012/05/26
256,9/11/2009,2009/11/09
257,4/21/2006,2006/04/21
258,2/10/2015,2015/10/02
259,3/12/2016,2016/12/03
260,9/30/2006,2006/09/30
261,4/25/2009,2009/04/25
262,7/21/2010,2010/07/21
263,3/2/2008,2008/02/03
264,6/29/2014,2014/06/29
265,5/19/2009,2009/05/19
266,6/13/2014,2014/06/13
267,5/14/2007,2007/05/14
268,2/7/2008,2008/07/02
269,4/18/2014,2014/04/18
270,8/2/2011,2011/02/08
271,4/5/2010,2010/05/04
272,5/6/2013,2013/06/05
273,5/3/2013,2013/03/05
274,4/5/2010,2010/05/04
275,6/27/2013,2013/06/27
